City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
2,Mao,ES,81.16,clear sky,39.8885,4.2658,ARTIEM Capri
3,Albany,US,72.12,overcast clouds,42.6001,-73.9662,
4,Thompson,CA,75.36,scattered clouds,55.7435,-97.8558,Burntwood Hotel
7,Phonhong,LA,76.82,overcast clouds,18.5007,102.4166,Manyvong Guest House
9,Tiarei,PF,84.22,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
11,Struthers,US,77.29,few clouds,41.0526,-80.6078,Fairfield Inn & Suites by Marriott Youngstown Boardman/Poland
12,Nador,MA,75.45,broken clouds,35.174,-2.9287,Hôtel La Giralda
13,Cairns,AU,76.1,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
15,Vila Velha,BR,71.55,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
16,Saint-Augustin,CA,65.66,broken clouds,51.226,-58.6502,
17,Caravelas,BR,70.05,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
19,Guilin,CN,77.11,overcast clouds,25.2819,110.2864,Grand 0773 Hotel
20,Sola,VU,75.87,overcast clouds,-13.8833,167.55,Leumerus Bungalows
21,Cayenne,GF,78.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
23,Carbonear,CA,73.53,scattered clouds,47.7332,-53.2148,Merchant's Manor
26,Rikitea,PF,74.73,clear sky,-23.1203,-134.9692,People ThankYou
28,Kawalu,ID,71.24,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
31,Padang,ID,76.89,overcast clouds,-0.9492,100.3543,Mercure Padang
32,Puerto Ayora,EC,70.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
33,Kununurra,AU,75.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
34,Merauke,ID,77.81,overcast clouds,-8.4667,140.3333,
36,Wum,CM,65.66,overcast clouds,6.3833,10.0667,Wum Council Hall
37,Puerto Asis,CO,73.56,broken clouds,0.5133,-76.5007,Ayawaska Hostal
40,Nishihara,JP,83.48,broken clouds,26.1842,127.7558,Minshuku Agaihama
41,Hervey Bay,AU,67.57,broken clouds,-25.2986,152.8535,Shelly Bay Resort
43,Sao Francisco Do Conde,BR,77.02,broken clouds,-12.6275,-38.68,Fazenda Engenho D’Água
44,Halifax,CA,73.69,clear sky,44.6453,-63.5724,Hotel Halifax
45,Katsuura,JP,69.91,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
47,Seoul,KR,78.37,clear sky,37.5683,126.9778,롯데호텔 서울
49,Avarua,CK,71.65,light rain,-21.2078,-159.775,Paradise Inn
54,Mareeba,AU,71.47,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
59,Atuona,PF,78.15,few clouds,-9.8,-139.0333,Villa Enata
60,Hasaki,JP,70.2,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
61,Mangan,IN,75.85,overcast clouds,27.5167,88.5333,Hotel Mout View
64,Mount Isa,AU,69.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
66,Ponta Do Sol,PT,84.83,clear sky,32.6667,-17.1,Hotel do Campo
73,Malanje,AO,70.81,broken clouds,-9.5402,16.341,Malanje Hotel
74,Hambantota,LK,78.73,overcast clouds,6.1241,81.1185,Bungalow 63
79,Butaritari,KI,83.32,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
80,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
81,Batticaloa,LK,79.5,overcast clouds,7.7102,81.6924,Grand Star Guest House
84,Dakar,SN,80.73,broken clouds,14.6937,-17.4441,Redface Studios Meublés
86,Lucapa,AO,71.11,clear sky,-8.4192,20.7447,Residência Ulisses Dos Santos
88,Nouadhibou,MR,71.58,few clouds,20.931,-17.0347,El Medina
89,Puerto Del Rosario,ES,82.15,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
95,Vila Franca Do Campo,PT,72.01,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
99,Sao Joao Da Barra,BR,69.51,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
101,Kodiak,US,65.71,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
102,Kutum,SD,77.58,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
104,Arraial Do Cabo,BR,68.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
105,Lagoa,PT,71.38,overcast clouds,39.05,-27.9833,Casa Das Faias
106,Guerrero Negro,MX,79.14,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
109,Kirakira,SB,81.91,overcast clouds,-10.4544,161.9205,SanBiz Lodge
110,Hamilton,US,76.21,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
111,Yiyang,CN,71.78,broken clouds,28.5892,112.3283,Tongcheng International Hotel
112,Bethel,US,77.11,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
114,Acari,PE,65.93,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
115,Itarema,BR,77.94,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
117,Galeana,MX,71.6,scattered clouds,24.8333,-100.0667,Mirador
118,Avera,US,84.74,overcast clouds,33.194,-82.5271,
121,Buchanan,LR,75.76,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
122,Emba,KZ,73.11,clear sky,48.8264,58.1442,
124,Lorengau,PG,82.35,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
126,Hilo,US,80.4,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
128,Cabedelo,BR,74.07,broken clouds,-6.9811,-34.8339,Hotel Pigalle
131,Nantucket,US,74.01,clear sky,41.2835,-70.0995,Jared Coffin House
134,Jamestown,US,74.52,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
143,Trairi,BR,78.58,scattered clouds,-3.2778,-39.2689,janelas do mar
146,Sao Jose De Piranhas,BR,79.86,overcast clouds,-7.1206,-38.5019,Hotel Pousada São José
149,Bhopal,IN,73.96,overcast clouds,23.2667,77.4,SPOT ON 63658 Shukla Lodge
151,Sao Raimundo Nonato,BR,77.0,scattered clouds,-9.0153,-42.6994,Real Hotel
155,Kiunga,PG,74.71,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
158,Broome,US,72.66,clear sky,42.2506,-75.833,Chenango Valley State Park
164,Sayat,TM,66.07,clear sky,38.7839,63.8803,
166,Notre-Dame-Du-Lac,CA,67.87,clear sky,47.6136,-68.7964,Auberge La Dolce Vita
167,Thinadhoo,MV,82.51,overcast clouds,0.5333,72.9333,
168,Sumbe,AO,71.13,few clouds,-11.2061,13.8437,Hotel Ritz Sumbe
169,Pimentel,PE,66.49,clear sky,-6.8367,-79.9342,Casona Del Muelle
171,Poya,NC,72.16,broken clouds,-21.35,165.15,
173,Rabo De Peixe,PT,71.11,few clouds,37.8,-25.5833,Quinta das Giestas
175,Camacha,PT,81.36,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
176,San Cristobal,VE,77.18,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
178,Shache,CN,70.36,overcast clouds,38.4167,77.2406,Delong Hotel
181,Rudbar,AF,77.77,clear sky,30.15,62.6,
184,Chabahar,IR,79.77,overcast clouds,25.2919,60.643,هتل گدروشیا
186,La Romana,DO,80.33,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
188,Linqiong,CN,73.22,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
192,Antalya,TR,82.99,clear sky,36.7741,30.7178,
193,Marawi,PH,67.64,overcast clouds,7.9986,124.2928,Derogongan Residence
195,Monkey Bay,MW,68.68,few clouds,-14.0728,34.9201,Monkey Bay Beach Lodge
199,Gberia Fotombu,SL,67.3,overcast clouds,9.8833,-11.1667,
201,Jhang,PK,75.61,clear sky,33.6748,72.6963,Bismallah sentory store
203,Kedougou,SN,73.35,overcast clouds,12.5579,-12.1743,Relais de Kédougou
207,Sulangan,PH,82.92,overcast clouds,11.1373,123.7228,Maia's Beach Resort
211,Montes Altos,BR,80.33,scattered clouds,-5.8333,-47.0667,Hotel e Restaurante Manaaim
212,Myitkyina,MM,74.89,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
216,Santa Helena,BR,75.69,overcast clouds,-2.2311,-45.3,Turi Plaza Hotel
217,Harpanahalli,IN,68.77,overcast clouds,14.8,75.9833,k raghavendra shetti
218,Camocim,BR,77.63,few clouds,-2.9022,-40.8411,Hotel Ilha do Amor
226,Blandiana,RO,66.74,clear sky,45.9667,23.3833,Cabana Gherbea
227,Alexandria,EG,79.72,clear sky,31.2156,29.9553,Royal Crown Hotel
228,Torbay,CA,72.68,few clouds,47.6666,-52.7314,Gallows Cove
230,Faanui,PF,79.03,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
232,Tual,ID,79.86,broken clouds,-5.6667,132.75,Grand Vilia Hotel
233,Katherine,AU,73.72,clear sky,-14.4667,132.2667,Pine Tree Motel
235,Eyl,SO,77.43,clear sky,7.9803,49.8164,Amiin Hotel
236,Sumenep,ID,79.0,few clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
237,Marilia,BR,71.92,few clouds,-22.2139,-49.9458,Hotel Tenda
239,Hithadhoo,MV,82.67,overcast clouds,-0.6,73.0833,Scoop Guest House
241,Yara,CU,83.57,overcast clouds,20.2753,-76.9533,Casa de Margarita Puebla Lorente
246,Mantua,IT,81.64,clear sky,45.1667,10.7833,Hotel la Favorita
248,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
253,Kavaratti,IN,81.01,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
254,Mayo,US,83.1,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
259,Raga,SS,67.28,broken clouds,8.4596,25.678,
262,Ballina,AU,67.78,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
266,Yarada,IN,81.5,broken clouds,17.65,83.2667,Jeevan
268,Oussouye,SN,80.69,overcast clouds,12.485,-16.5469,Auberge du Routard
269,Mount Pleasant,US,83.98,clear sky,32.7941,-79.8626,Best Western Patriots Point
270,Nhulunbuy,AU,81.21,clear sky,-12.2333,136.7667,East Arnhem Real Estate
272,Cocoa Beach,US,84.06,clear sky,28.32,-80.6076,La Quinta Inn by Wyndham Cocoa Beach-Port Canaveral
273,Korla,CN,72.77,overcast clouds,41.7597,86.1469,Gulisitan Hotel
276,Miyako,JP,65.61,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
