City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Rayagada,IN,19.1667,83.4167,76.68,94,96,2.86,overcast clouds,0.0,0
1,Punta Arenas,CL,-53.15,-70.9167,41.11,93,90,4.61,overcast clouds,0.0,0
2,Vila Do Maio,CV,15.1333,-23.2167,79.59,90,99,8.32,overcast clouds,0.0,0
3,New Norfolk,AU,-42.7826,147.0587,42.3,77,87,1.99,overcast clouds,0.0,0
4,Clyde River,CA,70.4692,-68.5914,44.28,78,97,0.78,overcast clouds,0.0,0
5,Atar,MR,20.5169,-13.0499,92.3,27,18,7.05,few clouds,0.0,0
6,Crotone,IT,39.0851,17.1178,77.94,48,0,2.55,clear sky,0.0,0
7,Dikson,RU,73.5069,80.5464,44.38,100,100,10.33,overcast clouds,0.0,0
8,Arraial Do Cabo,BR,-22.9661,-42.0278,68.88,82,2,15.52,clear sky,0.0,0
9,Anzio,IT,41.4853,12.6179,82.72,64,0,6.04,clear sky,0.0,0
10,Hobart,AU,-42.8794,147.3294,42.66,88,75,4.0,shower rain,0.1,0
11,Ponta Do Sol,PT,32.6667,-17.1,86.63,46,2,5.26,clear sky,0.0,0
12,Santa Isabel,BR,-23.3156,-46.2214,62.38,94,18,2.15,few clouds,0.0,0
13,Menongue,AO,-14.6585,17.691,56.53,34,0,5.48,clear sky,0.0,0
14,Norsup,VU,-16.0667,167.3833,77.25,65,49,15.05,scattered clouds,0.0,0
15,Kapaa,US,22.0752,-159.319,86.32,66,1,4.0,clear sky,0.0,0
16,Missoula,US,47.0166,-113.8009,86.4,21,11,13.11,few clouds,0.0,0
17,Albany,US,42.6001,-73.9662,68.63,74,100,2.46,overcast clouds,0.0,0
18,Asau,RO,46.4333,26.4,66.96,79,6,4.54,clear sky,0.0,0
19,Lata,PT,40.1629,-8.3327,62.82,96,2,0.78,clear sky,0.0,0
20,Rikitea,PF,-23.1203,-134.9692,74.79,75,0,11.45,clear sky,0.0,0
21,Cherskiy,RU,68.75,161.3,43.27,85,100,3.89,overcast clouds,0.0,0
22,Qaanaaq,GL,77.484,-69.3632,38.07,99,100,5.61,light rain,0.29,0
23,Kaitangata,NZ,-46.2817,169.8464,55.02,56,98,10.67,overcast clouds,0.0,0
24,Chokurdakh,RU,70.6333,147.9167,46.63,54,59,7.7,broken clouds,0.0,0
25,Nuuk,GL,64.1835,-51.7216,47.01,100,90,12.66,light intensity shower rain,0.4,0
26,Lebu,CL,-37.6167,-73.65,50.81,92,100,27.76,overcast clouds,0.0,0
27,Kahului,US,20.8947,-156.47,85.96,69,40,20.71,light rain,0.16,0
28,Carnarvon,AU,-24.8667,113.6333,64.47,75,45,6.91,scattered clouds,0.0,0
29,Butaritari,KI,3.0707,172.7902,83.39,72,24,10.25,few clouds,0.0,0
30,Svetlogorsk,BY,52.6333,29.7333,64.33,84,40,4.92,scattered clouds,0.0,0
31,Port Hardy,CA,50.6996,-127.4199,59.18,100,90,0.0,mist,0.0,0
32,Hermanus,ZA,-34.4187,19.2345,56.89,75,12,8.63,few clouds,0.0,0
33,Ploemeur,FR,47.7333,-3.4333,61.95,94,90,14.97,overcast clouds,0.0,0
34,Saint-Philippe,RE,-21.3585,55.7679,63.95,74,87,12.46,light rain,0.13,0
